Sl. No,State/UT,Total Psychiatrists/ Trained MOs,Total Number of Clinical Psychologist/ Trained Psychologist,Total Number of Psychiatric Nurse/ Trained nurse in psychiatry,Total psychiatric Social workers/ Trained social workers in psychiatry
1,Andaman and Nicobar Islands,2,2,0,3
2,Andhra Pradesh,16,7,11,21
3,Arunachal Pradesh,9,5,7,6
4,Assam,33,19,3,18
5,Bihar,31,13,38,6
6,Chandigarh,0,1,1,1
7,Chattisgarh,32,21,14,23
8,Delhi,1,1,2,2
9,Dadra and Nagar Haveli and Daman and Diu,7,5,12,2
10,Goa,3,1,0,1
11,Gujarat,108,54,274,46
12,Haryana,42,19,21,15
13,Himachal Pradesh,31,19,24,12
14,Jharkhand,40,16,31,13
15,Karnataka,261,32,29,37
16,Kerala,30,9,49,58
17,Ladakh,4,2,1,2
18,Lakshwadeep,1,2,9,4
19,Madhya Pradesh,49,15,51,0
20,Maharashtra,26,29,30,40
21,Manipur,30,9,26,14
22,Meghalaya,11,7,8,10
23,Mizoram,3,9,8,9
24,Nagaland,5,11,4,11
25,Odisha,61,31,10,30
26,Puducherry,1,1,1,1
27,Punjab,43,8,65,28
28,Rajasthan,32,0,16,0
29,Sikkim,4,4,0,3
30,Tamil Nadu,72,33,8,34
31,Telengana,43,11,36,7
32,Tripura,18,1,191,3
33,Jammu and Kashmir,8,11,9,9
34,Uttar Pradesh,75,61,60,61
35,Uttarakhand,13,7,0,13
36,West Bengal,33,37,9,22
Total,Total,1178,513,1058,565
